Course Code,Course Name,Number of Sections,Number of Seats
AWS21X,AP STUDIO ART - DRAWING,1,34
EES85X1,AP ENG LANG - AMERICAN LITERARY HISTORY,2,68
EES85X3,AP ENG LANG - DEFINING AMERICAN VOICES,2,68
EES85X7,AP ENG LANG - CONTEMPORARIES CLASSICS,2,68
EES85XA,AP ENG LANG - AMER PLACES & PERSPECTIVES,2,68
EES87X3,AP ENG LIT - GREAT BOOKS,2,68
EES87X5,AP ENG LIT - SOCIETY & SELF,2,68
EES87X7,AP ENG LIT - PSYCHOLOGY & LITERATURE,2,68
EES87XGP,AP ENG LIT GLOBAL PERSPECTIVES,2,68
FFS87X,AP FRENCH IV 1 OF 2,2,68
FGS87X,AP GERMAN LANGUAGE AND CULTURE 1 OF 2,1,34
FJS87X,AP JAPANESE IV 1 OF 2,1,34
FLS87X,AP LATIN IV 1 OF 2,1,34
FMS87X,AP CHINESE IV 1 OF 2,3,102
FSS87X,AP SPAN LANG IV 1 OF 2,2,68
HBS21X,AP PSYCHOLOGY 1 OF 2,1,34
HES21X,AP MACROECONOMICS,9,306
HGS41XHG,AP Human Geography 9 1 of 2,2,68
HGS43XE,AP EURO HIST 10 1 OF 2,7,238
HGS43XW,AP WORLD HISTORY 10 1 OF 2,8,272
HQS21XAA,AP AFRI  AM STUD 1 OF 2,2,68
HUS21X,AP US HISTORY 1 OF 2,11,374
HVS11X,AP US GOV POL,4,136
HVS11XG,AP US GOVERNMENT AND POLITICS,2,68
MCS21X,AP CALC AB 1 OF 2,9,306
MCS43X,AP CALC BC 1 OF 2,10,340
MKS21X,AP COMP SCI A 1 OF 2,7,238
MPS21X,AP PRE CALC 1 OF 2,19,646
MPS21XA,AP PRE CALC 1 OF 2,2,68
MPS21XH,AP PRE CALC HONORS 1 OF 2,4,136
MSS21X,AP STATS 1 OF 2,5,170
SBS21X,AP BIOLOGY 1,7,238
SBS43X,AP BIOLOGY 3,2,68
SCS43X,AP CHEMISTRY 3,7,238
SPS21X,AP PHYSICS 1,2,68
SPS43X,AP PHYS C MECH,3,102
SQS21X,AP PSYCHOLOGY 1 OF 2,4,136
SWS21X,AP ENVIR SCI 1 OF 2,6,204
UUS21X,AP MUSIC THEORY 1 OF 2,1,34
